Heure locale  access_time  30mn METAR,Température,Temps,Pluie,Vent,Humidité,Pt. de rosée,Pression,Visibilité
13h,16.2 °C,,4 mm/6h,28 km/h raf.50,71%,10.9 °C,1008.9hPa,10 km
12h,15 °C,,,24 km/h,,11 °C,1009hPa =,10 km
11h,13 °C,,,22 km/h,,12 °C,1009hPa =,10 km
10h,11.2 °C,,6 mm/3h,15 km/h,100%,11.2 °C,1009.1hPa,10 km
09h,10 °C,,,15 km/h,,10 °C,1008hPa =,6 km
08h,9 °C,,,15 km/h,,9 °C,1008hPa =,8 km
07h,9.2 °C,,3 mm/24h,19 km/h,100%,9.2 °C,1008.1hPa,10 km
06h,11 °C,,,17 km/h,,8 °C,1007hPa =,10 km
05h,11 °C,,,20 km/h,,8 °C,1007hPa =,10 km
04h,10.4 °C,,,20 km/h,82%,7.5 °C,1007.2hPa,10 km
03h,11 °C,,,19 km/h,,8 °C,1007hPa =,10 km
02h,11 °C,,,20 km/h,,8 °C,1007hPa =,10 km
01h,10.9 °C,,0 mm/3h,17 km/h,86%,8.7 °C,1008.0hPa,10 km
00h,11 °C,,,15 km/h,,9 °C,1008hPa =,10 km
23h,11 °C,,,15 km/h,,9 °C,1009hPa =,10 km
22h,11.0 °C,,0.4 mm/3h,4 km/h,88%,9.1 °C,1008.6hPa,10 km
20h,12 °C,,,11 km/h,,9 °C,1008hPa =,10 km
19h,13.3 °C,,0.2 mm/3h,13 km/h,76%,9.2 °C,1008.4hPa,10 km
18h,15 °C,,,13 km/h,,9 °C,1007hPa =,10 km
17h,15 °C,,,22 km/h,,8 °C,1007hPa =,10 km
16h,16.5 °C,,,0 km/h,63%,9.4 °C,1007.5hPa,10 km
15h,17 °C,,,13 km/h,,9 °C,1008hPa =,10 km
14h,17 °C,,,17 km/h,,8 °C,1008hPa =,10 km
